model,variant,trainable_parameters,training_seconds,test_evaluation_seconds,checkpoint_bytes,peak_gpu_memory_bytes,relative_path,family,inference_batch_1_batch_size,inference_batch_1_mean_batch_latency_ms,inference_batch_1_mean_latency_ms_per_sample,inference_batch_1_throughput_samples_per_second,inference_batch_1_warmup_iterations,inference_batch_1_measurement_iterations,inference_batch_default_batch_size,inference_batch_default_mean_batch_latency_ms,inference_batch_default_mean_latency_ms_per_sample,inference_batch_default_throughput_samples_per_second,inference_batch_default_warmup_iterations,inference_batch_default_measurement_iterations,inference_conv_linear_macs_per_sample,inference_approx_conv_linear_flops_per_sample,inference_macs_scope_note,prediction_seconds,test_samples,mean_latency_ms_per_sample,throughput_samples_per_second,serialized_model_bytes,number_of_trees,total_leaves,input_dimension,training_rows
gru,full,20098.0,176.48074112087488,0.4959615245461464,84153.0,42701312.0,main/nsl_kdd/gru/seed_42/efficiency.json,main,1.0,0.15017233788967133,0.15017233788967133,6659.015994907666,20.0,100.0,128.0,0.15758022665977478,0.0012310955207794905,812284.6547007432,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,20098.0,187.09680818021297,0.29593896865844727,84153.0,42701312.0,main/nsl_kdd/gru/seed_43/efficiency.json,main,1.0,0.14925867319107056,0.14925867319107056,6699.778167797791,20.0,100.0,128.0,0.15290334820747375,0.0011945574078708887,837130.131554199,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,20098.0,109.49968099594116,0.2929718345403671,84153.0,42701312.0,main/nsl_kdd/gru/seed_44/efficiency.json,main,1.0,0.14990165829658508,0.14990165829658508,6671.04027642889,20.0,100.0,128.0,0.15709765255451202,0.0012273254105821252,814779.8386458047,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,20098.0,139.5988650918007,0.3073531836271286,84153.0,42701312.0,main/nsl_kdd/gru/seed_45/efficiency.json,main,1.0,0.16796283423900604,0.16796283423900604,5953.698057851478,20.0,100.0,128.0,0.15536457300186157,0.0012137857265770435,823868.643454942,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,20098.0,175.37481800466776,0.3338407278060913,84153.0,42701312.0,main/nsl_kdd/gru/seed_46/efficiency.json,main,1.0,0.1535501331090927,0.1535501331090927,6512.530987449749,20.0,100.0,128.0,0.15696652233600616,0.0012263009557500482,815460.5077253368,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
tcn,full,72514.0,296.7378052547574,0.42415807396173477,308213.0,34135040.0,main/nsl_kdd/tcn/seed_42/efficiency.json,main,1.0,0.6573520600795746,0.6573520600795746,1521.2548354666246,20.0,100.0,128.0,0.6777623295783997,0.005295018199831247,188856.76352007064,20.0,100.0,1644928.0,3289856.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
xgboost,full,,17.190928108990192,,,,main/nsl_kdd/xgboost/seed_42/efficiency.json,main,,,,,,,,,,,,,,,,0.015262126922607422,22529.0,0.0006774436025836665,1476137.6388914925,312254.0,300.0,,608.0,107063.0
xgboost,full,,16.818282887339592,,,,main/nsl_kdd/xgboost/seed_43/efficiency.json,main,,,,,,,,,,,,,,,,0.01566171646118164,22529.0,0.0006951802770287914,1438475.7926016136,313256.0,300.0,,608.0,107063.0
xgboost,full,,16.665078915655613,,,,main/nsl_kdd/xgboost/seed_44/efficiency.json,main,,,,,,,,,,,,,,,,0.015757188200950623,22529.0,0.0006994180035043997,1429760.1648650004,317966.0,300.0,,608.0,107063.0
xgboost,full,,16.506734430789948,,,,main/nsl_kdd/xgboost/seed_45/efficiency.json,main,,,,,,,,,,,,,,,,0.015773750841617584,22529.0,0.0007001531733151753,1428258.8983565858,315668.0,300.0,,608.0,107063.0
xgboost,full,,16.900587126612663,,,,main/nsl_kdd/xgboost/seed_46/efficiency.json,main,,,,,,,,,,,,,,,,0.01975952833890915,22529.0,0.0008770708126818389,1140158.7939544788,310049.0,300.0,,608.0,107063.0
lightgbm,full,,10.84652654826641,,,,main/nsl_kdd/lightgbm/seed_42/efficiency.json,main,,,,,,,,,,,,,,,,0.029382959008216858,22529.0,0.0013042282839103758,766736.9373418052,462244.0,300.0,9252.0,608.0,107063.0
lightgbm,full,,10.882043719291687,,,,main/nsl_kdd/lightgbm/seed_43/efficiency.json,main,,,,,,,,,,,,,,,,0.028367385268211365,22529.0,0.0012591497744334575,794186.6966937595,464477.0,300.0,9267.0,608.0,107063.0
lightgbm,full,,10.524359337985516,,,,main/nsl_kdd/lightgbm/seed_44/efficiency.json,main,,,,,,,,,,,,,,,,0.026251696050167084,22529.0,0.0011652401815512043,858192.1700200627,462922.0,300.0,9253.0,608.0,107063.0
lightgbm,full,,10.614121064543724,,,,main/nsl_kdd/lightgbm/seed_45/efficiency.json,main,,,,,,,,,,,,,,,,0.02580016851425171,22529.0,0.001145198123052586,873211.3508311097,463533.0,300.0,9266.0,608.0,107063.0
lightgbm,full,,10.816675215959549,,,,main/nsl_kdd/lightgbm/seed_46/efficiency.json,main,,,,,,,,,,,,,,,,0.026667587459087372,22529.0,0.0011837004509337907,844808.3290085137,464701.0,300.0,9277.0,608.0,107063.0
ms_atcn,full,122941.0,120.97105035930872,2.2423754408955574,503861.0,30885376.0,main/unsw_nb15/ms_atcn/seed_42/efficiency.json,main,1.0,1.126357987523079,1.126357987523079,887.8172047228547,20.0,100.0,128.0,1.0215869545936584,0.007981148082762957,125295.2569768402,20.0,100.0,1875360.0,3750720.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122941.0,151.64103004336357,2.0389261916279793,503861.0,30885376.0,main/unsw_nb15/ms_atcn/seed_43/efficiency.json,main,1.0,1.02184496819973,1.02184496819973,978.6220328136312,20.0,100.0,128.0,1.0144271701574326,0.007925212266854942,126179.58564746963,20.0,100.0,1875360.0,3750720.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122941.0,142.66134405136108,2.012995734810829,503861.0,30885376.0,main/unsw_nb15/ms_atcn/seed_44/efficiency.json,main,1.0,1.0060124844312668,1.0060124844312668,994.0234494856535,20.0,100.0,128.0,1.021604910492897,0.007981288363225758,125293.0547663905,20.0,100.0,1875360.0,3750720.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122941.0,159.22246750444174,1.9760845676064491,503861.0,30885376.0,main/unsw_nb15/ms_atcn/seed_45/efficiency.json,main,1.0,1.0129467397928238,1.0129467397928238,987.2187359076038,20.0,100.0,128.0,1.0215254127979279,0.007980667287483811,125302.8053892578,20.0,100.0,1875360.0,3750720.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122941.0,131.45517826080322,2.1000146493315697,503861.0,30885376.0,main/unsw_nb15/ms_atcn/seed_46/efficiency.json,main,1.0,1.0224448144435883,1.0224448144435883,978.0478964472985,20.0,100.0,128.0,0.9999461472034454,0.0078120792750269175,128006.89352919481,20.0,100.0,1875360.0,3750720.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
mlp,full,42146.0,95.94715997576714,1.2694297656416893,172281.0,19204096.0,main/unsw_nb15/mlp/seed_42/efficiency.json,main,1.0,0.07240854203701019,0.07240854203701019,13810.525275993954,20.0,100.0,128.0,0.08097521960735321,0.000632618903182447,1580730.5076870278,20.0,100.0,42048.0,84096.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
cnn,full,20290.0,62.551323004066944,1.3311294093728065,88629.0,20923392.0,main/unsw_nb15/cnn/seed_42/efficiency.json,main,1.0,0.22178351879119873,0.22178351879119873,4508.901317150912,20.0,100.0,128.0,0.225355327129364,0.0017605884931981564,567991.8980860048,20.0,100.0,316544.0,633088.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
